      UTCTime       Week   GPSTime         Latitude        Longitude        H-Ell VelBdyX VelBdyY VelBdyZ AccBdyX AccBdyY AccBdyZ           Roll          Pitch        Heading Q
        (sec)    (weeks)     (sec)       (+/-D M S)       (+/-D M S)          (m)   (m/s)   (m/s)   (m/s) (m/s^2) (m/s^2) (m/s^2)          (deg)          (deg)          (deg)  
1621309735.00 2158.00000 186553.00   22 19 12.16000  114 10 17.78816        4.843   0.039   4.120  -0.050  -0.079  -1.295   0.176  -1.7253535381   0.3036103356 168.2336439755 2
1621309736.00 2158.00000 186554.00   22 19 12.05611  114 10 17.80812        4.845   0.128   2.380  -0.013  -0.959  -1.697   0.029  -1.0309859861   0.4387367020 168.2105022101 2
1621309737.00 2158.00000 186555.00   22 19 12.00671  114 10 17.81805        4.838   0.019   0.863   0.011   0.304  -1.299   0.257  -1.1825046751   0.4271973320 168.2324063866 2
1621309738.00 2158.00000 186556.00   22 19 11.99766  114 10 17.81985        4.844   0.008   0.003   0.011   0.146   0.172  -0.047  -1.1768495816   0.4598788447 168.2634893470 2
1621309739.00 2158.00000 186557.00   22 19 11.99784  114 10 17.81986        4.845   0.002  -0.005   0.003   0.444   0.026   0.048  -1.1669546005   0.4415384657 168.2596390706 1
1621309740.00 2158.00000 186558.00   22 19 11.99798  114 10 17.81984        4.848  -0.001  -0.002   0.007   0.002   0.076  -0.050  -1.1649664369   0.4429078348 168.2604985073 1
1621309741.00 2158.00000 186559.00   22 19 11.99803  114 10 17.81983        4.849   0.005  -0.001   0.005  -0.290   0.109  -0.025  -1.1635168537   0.4424265502 168.2603781862 1
1621309742.00 2158.00000 186560.00   22 19 11.99802  114 10 17.81983        4.841   0.005  -0.002   0.002   0.515   0.066   0.019  -1.1695042627   0.4448673505 168.2622288399 1
1621309743.00 2158.00000 186561.00   22 19 11.99802  114 10 17.81983        4.841  -0.000   0.001   0.004  -0.555  -0.092  -0.060  -1.1649091412   0.4403237951 168.2624580230 2
1621309744.00 2158.00000 186562.00   22 19 11.99802  114 10 17.81983        4.841   0.002   0.000   0.005   0.245   0.034   0.058  -1.1654362623   0.4439907250 168.2628590935 2
1621309745.00 2158.00000 186563.00   22 19 11.99802  114 10 17.81983        4.841  -0.003   0.001   0.005  -0.158   0.110  -0.034  -1.1680661386   0.4470560492 168.2653972965 2
1621309746.00 2158.00000 186564.00   22 19 11.99802  114 10 17.81983        4.841   0.004  -0.000   0.005   0.502   0.110   0.053  -1.1652013496   0.4482019648 168.2644633753 2
1621309747.00 2158.00000 186565.00   22 19 11.99802  114 10 17.81983        4.841  -0.002  -0.001   0.005  -0.288   0.056  -0.046  -1.1675447470   0.4450163195 168.2652769753 2
1621309748.00 2158.00000 186566.00   22 19 11.99802  114 10 17.81983        4.841  -0.002  -0.001   0.005   0.557   0.095   0.029  -1.1635111242   0.4485973057 168.2653629190 2
1621309749.00 2158.00000 186567.00   22 19 11.99802  114 10 17.81983        4.841   0.004  -0.002   0.002  -0.280  -0.017  -0.038  -1.1604343408   0.4445579532 168.2665546712 2
1621309750.00 2158.00000 186568.00   22 19 11.99802  114 10 17.81983        4.841  -0.004   0.002   0.006   0.129  -0.050   0.000  -1.1654534511   0.4439105109 168.2670588741 2
1621309751.00 2158.00000 186569.00   22 19 11.99802  114 10 17.81983        4.841  -0.001   0.001   0.007   0.330  -0.012   0.084  -1.1724549953   0.4444032546 168.2680615502 2
1621309752.00 2158.00000 186570.00   22 19 11.99802  114 10 17.81983        4.841  -0.001  -0.001   0.004  -0.535   0.124  -0.068  -1.1663701835   0.4470445901 168.2695569701 2
1621309753.00 2158.00000 186571.00   22 19 11.99802  114 10 17.81983        4.841   0.002  -0.001   0.006  -0.027   0.074  -0.015  -1.1717216094   0.4456637618 168.2691272517 2
1621309754.00 2158.00000 186572.00   22 19 11.99802  114 10 17.81983        4.841   0.002   0.000   0.006   0.503   0.060   0.027  -1.1759443083   0.4469758351 168.2675573474 2
1621309755.00 2158.00000 186573.00   22 19 11.99802  114 10 17.81983        4.841   0.000   0.003   0.004  -0.331  -0.041  -0.076  -1.1715669107   0.4449303758 168.2699924180 2
1621309756.00 2158.00000 186574.00   22 19 11.99802  114 10 17.81983        4.841  -0.000   0.002   0.002  -0.334  -0.039  -0.063  -1.1729993052   0.4409139417 168.2715279449 2
1621309757.00 2158.00000 186575.00   22 19 11.99802  114 10 17.81983        4.841  -0.000   0.000   0.003   0.208   0.153  -0.043  -1.1713377276   0.4431484771 168.2705539166 2
1621309758.00 2158.00000 186576.00   22 19 11.99802  114 10 17.81983        4.841   0.001   0.001   0.001   0.539   0.040   0.084  -1.1734576715   0.4410800994 168.2712643843 2
1621309759.00 2158.00000 186577.00   22 19 11.99802  114 10 17.81983        4.841   0.003   0.002   0.001   0.342  -0.076   0.017  -1.1733889165   0.4393497669 168.2711326040 2
1621309760.00 2158.00000 186578.00   22 19 11.99802  114 10 17.81983        4.841   0.003   0.002  -0.001  -0.219   0.040  -0.056  -1.1723976996   0.4392409049 168.2716711843 2
1621309761.00 2158.00000 186579.00   22 19 11.99802  114 10 17.81983        4.841  -0.001   0.000  -0.002  -0.714  -0.004  -0.043  -1.1715955586   0.4383299020 168.2726967788 2
1621309762.00 2158.00000 186580.00   22 19 11.99802  114 10 17.81983        4.841  -0.001   0.001  -0.002  -0.362  -0.139   0.038  -1.1750676829   0.4368631301 168.2735218380 2
1621309763.00 2158.00000 186581.00   22 19 11.99802  114 10 17.81983        4.841  -0.001   0.002  -0.003   0.016   0.074   0.027  -1.1757953393   0.4363073610 168.2736364296 2
1621309764.00 2158.00000 186582.00   22 19 11.99802  114 10 17.81983        4.841  -0.003   0.003  -0.003   0.393   0.148   0.047  -1.1748098519   0.4368115639 168.2738369648 2
1621309765.00 2158.00000 186583.00   22 19 11.99802  114 10 17.81983        4.841  -0.001   0.002  -0.003   0.551  -0.079   0.055  -1.1747239082   0.4361182849 168.2749542325 2
1621309766.00 2158.00000 186584.00   22 19 11.99802  114 10 17.81983        4.841  -0.003   0.002  -0.006  -0.272   0.143   0.057  -1.1747812040   0.4365480033 168.2748224522 2
1621309767.00 2158.00000 186585.00   22 19 11.99802  114 10 17.81983        4.841  -0.001   0.002  -0.005   0.480   0.048   0.005  -1.1737441504   0.4368001047 168.2753037368 2
1621309768.00 2158.00000 186586.00   22 19 11.99802  114 10 17.81983        4.841   0.000  -0.000  -0.004   0.401  -0.095  -0.020  -1.1721513277   0.4374303583 168.2753209255 2
1621309769.00 2158.00000 186587.00   22 19 11.99802  114 10 17.81983        4.841   0.004   0.001  -0.005   0.622  -0.024   0.013  -1.1751077899   0.4372470118 168.2753266551 2
1621309770.00 2158.00000 186588.00   22 19 11.99802  114 10 17.81983        4.841   0.004  -0.004  -0.005   0.380   0.216   0.079  -1.1727758517   0.4446324378 168.2749828804 2
1621309771.00 2158.00000 186589.00   22 19 11.99802  114 10 17.81983        4.841   0.003  -0.002  -0.006   0.081  -0.091  -0.062  -1.1733831870   0.4408910234 168.2768507228 2
1621309772.00 2158.00000 186590.00   22 19 11.99802  114 10 17.81983        4.841   0.004  -0.003  -0.006   0.330   0.061   0.054  -1.1741452208   0.4451137223 168.2766788355 2
1621309773.00 2158.00000 186591.00   22 19 11.99802  114 10 17.81983        4.841   0.002  -0.005  -0.004   0.420   0.049  -0.055  -1.1761906802   0.4466034126 168.2771543904 2
1621309774.00 2158.00000 186592.00   22 19 11.99802  114 10 17.81983        4.841  -0.001  -0.002  -0.003   0.222  -0.071   0.037  -1.1756291815   0.4467752999 168.2785123004 2
1621309775.00 2158.00000 186593.00   22 19 11.99802  114 10 17.81983        4.841   0.002  -0.001  -0.003  -0.279   0.030  -0.038  -1.1735378856   0.4485457395 168.2780482046 2
1621309776.00 2158.00000 186594.00   22 19 11.99802  114 10 17.81983        4.841   0.001   0.001  -0.003   0.042  -0.000  -0.042  -1.1745749392   0.4494911199 168.2782487398 2
1621309777.00 2158.00000 186595.00   22 19 11.99802  114 10 17.81983        4.841   0.001   0.003  -0.002   0.239   0.041  -0.011  -1.1727013672   0.4494739311 168.2769423961 2
1621309778.00 2158.00000 186596.00   22 19 11.99802  114 10 17.81983        4.841   0.000   0.005  -0.000  -0.344   0.091   0.035  -1.1719106854   0.4500927255 168.2773606552 2
1621309779.00 2158.00000 186597.00   22 19 11.99802  114 10 17.81983        4.841   0.004   0.004   0.001  -0.703  -0.040   0.004  -1.1729190911   0.4467638408 168.2785409483 2
1621309780.00 2158.00000 186598.00   22 19 11.99802  114 10 17.81983        4.841   0.001   0.002  -0.000  -0.550  -0.022  -0.052  -1.1728847137   0.4458585674 168.2789248300 2
1621309781.00 2158.00000 186599.00   22 19 11.99802  114 10 17.81983        4.841   0.003   0.003  -0.000   0.583  -0.027   0.032  -1.1725581277   0.4447241110 168.2797670780 2
1621309782.00 2158.00000 186600.00   22 19 11.99802  114 10 17.81983        4.841   0.003   0.003   0.001   0.354  -0.053   0.039  -1.1726096939   0.4439678067 168.2793545484 2
1621309783.00 2158.00000 186601.00   22 19 11.99802  114 10 17.81983        4.841   0.003   0.000   0.001   0.196   0.130  -0.075  -1.1726096939   0.4437844602 168.2792113089 2
1621309784.00 2158.00000 186602.00   22 19 11.99802  114 10 17.81983        4.841   0.003  -0.000   0.001  -0.052  -0.147  -0.022  -1.1704668318   0.4402951472 168.2804030611 2
1621309785.00 2158.00000 186603.00   22 19 11.99802  114 10 17.81983        4.841  -0.000   0.001   0.001  -0.587  -0.078  -0.022  -1.1688396316   0.4394242514 168.2816406500 2
1621309786.00 2158.00000 186604.00   22 19 11.99802  114 10 17.81983        4.841  -0.001   0.001   0.001  -0.509   0.078  -0.070  -1.1676536090   0.4386908654 168.2810562330 2
1621309787.00 2158.00000 186605.00   22 19 11.99802  114 10 17.81983        4.841  -0.001   0.001   0.002  -0.015   0.000   0.048  -1.1702720261   0.4381694738 168.2827006219 2
1621309788.00 2158.00000 186606.00   22 19 11.99802  114 10 17.81983        4.841   0.000   0.003  -0.001  -0.050   0.021   0.046  -1.1656883638   0.4392867415 168.2820990162 2
1621309789.00 2158.00000 186607.00   22 19 11.99802  114 10 17.81983        4.841   0.002   0.002  -0.004   0.438   0.133   0.054  -1.1673098343   0.4377225667 168.2821735007 2
1621309790.00 2158.00000 186608.00   22 19 11.99802  114 10 17.81983        4.841  -0.000   0.000  -0.005  -0.169  -0.214   0.129  -1.1648403862   0.4338665608 168.2824313317 2
1621309791.00 2158.00000 186609.00   22 19 11.99802  114 10 17.81983        4.841   0.003  -0.000  -0.003   0.367   0.124  -0.190  -1.1684442908   0.4373272259 168.2816062725 2
1621309792.00 2158.00000 186610.00   22 19 11.99802  114 10 17.81983        4.841   0.003  -0.001  -0.001   0.073   0.070  -0.217  -1.1652242680   0.4373501442 168.2816120021 2
1621309793.00 2158.00000 186611.00   22 19 11.99802  114 10 17.81983        4.841   0.004   0.001  -0.002  -0.327  -0.063  -0.045  -1.1667769836   0.4358891018 168.2821162049 2
1621309794.00 2158.00000 186612.00   22 19 11.99802  114 10 17.81983        4.841   0.003  -0.000  -0.002  -0.088   0.111  -0.066  -1.1678025780   0.4368688596 168.2831647177 2
1621309795.00 2158.00000 186613.00   22 19 11.99802  114 10 17.81983        4.841   0.001   0.000   0.001   0.417  -0.101  -0.050  -1.1686104485   0.4363130906 168.2829813712 2
1621309796.00 2158.00000 186614.00   22 19 11.99802  114 10 17.81983        4.841  -0.001  -0.001   0.002   0.536   0.169   0.035  -1.1692693500   0.4386736767 168.2837032980 2
1621309797.00 2158.00000 186615.00   22 19 11.99802  114 10 17.81983        4.841   0.002   0.001   0.002   0.523  -0.127   0.011  -1.1699740881   0.4360151525 168.2838522671 2
1621309798.00 2158.00000 186616.00   22 19 11.99802  114 10 17.81983        4.841   0.002   0.003  -0.000   0.593   0.112   0.002  -1.1703808881   0.4383127133 168.2841616643 2
1621309799.00 2158.00000 186617.00   22 19 11.99802  114 10 17.81983        4.841   0.000  -0.002  -0.000   0.558   0.021   0.009  -1.1699110627   0.4380606118 168.2842476079 2
1621309800.00 2158.00000 186618.00   22 19 11.99802  114 10 17.81983        4.841   0.001   0.002  -0.000   0.532  -0.078   0.038  -1.1711486516   0.4367084314 168.2845512756 2
1621309801.00 2158.00000 186619.00   22 19 11.99802  114 10 17.81983        4.841   0.002   0.000   0.001   0.523   0.142   0.023  -1.1710627079   0.4388856711 168.2849580756 2
1621309802.00 2158.00000 186620.00   22 19 11.99802  114 10 17.81983        4.841   0.002   0.001   0.000   0.625  -0.121   0.021  -1.1724320770   0.4370522061 168.2850783967 2
1621309803.00 2158.00000 186621.00   22 19 11.99802  114 10 17.81983        4.841   0.002   0.002   0.001   0.664   0.125   0.047  -1.1730451419   0.4395846796 168.2842877150 2
1621309804.00 2158.00000 186622.00   22 19 11.99802  114 10 17.81983        4.841   0.003  -0.000   0.002   0.415  -0.027   0.030  -1.1725237503   0.4385247077 168.2851872587 2
1621309805.00 2158.00000 186623.00   22 19 11.99802  114 10 17.81983        4.841   0.003   0.002  -0.000   0.557  -0.109   0.066  -1.1722601897   0.4376423527 168.2850554784 2
1621309806.00 2158.00000 186624.00   22 19 11.99802  114 10 17.81983        4.841   0.003   0.002  -0.001   0.263   0.166  -0.058  -1.1657170117   0.4413780375 168.2850955855 2
1621309807.00 2158.00000 186625.00   22 19 11.99802  114 10 17.81983        4.841   0.003  -0.000  -0.001   0.333  -0.080   0.003  -1.1745462913   0.4383413612 168.2853476869 2
1621309808.00 2158.00000 186626.00   22 19 11.99802  114 10 17.81983        4.841   0.001   0.001  -0.000   0.248   0.024  -0.017  -1.1676364203   0.4401289895 168.2849867235 2
1621309809.00 2158.00000 186627.00   22 19 11.99802  114 10 17.81983        4.841  -0.001  -0.002   0.001   0.359  -0.018   0.049  -1.1752911364   0.4392466345 168.2850612080 2
1621309810.00 2158.00000 186628.00   22 19 11.99802  114 10 17.81983        4.841   0.004  -0.001   0.003   0.301  -0.116   0.027  -1.1726841785   0.4402607698 168.2863675518 2
1621309811.00 2158.00000 186629.00   22 19 11.99802  114 10 17.81983        4.841  -0.002  -0.000   0.002   0.505   0.218  -0.038  -1.1752166519   0.4430682630 168.2864477659 2
1621309812.00 2158.00000 186630.00   22 19 11.99802  114 10 17.81983        4.841  -0.001   0.000   0.002   0.366  -0.141   0.004  -1.1757093956   0.4414353333 168.2878457829 2
1621309813.00 2158.00000 186631.00   22 19 11.99802  114 10 17.81983        4.841  -0.001   0.003   0.002   0.427   0.093  -0.052  -1.1762880830   0.4433490123 168.2877254618 2
1621309814.00 2158.00000 186632.00   22 19 11.99802  114 10 17.81983        4.841   0.002   0.000   0.001   0.233   0.082  -0.036  -1.1760474407   0.4443001222 168.2884703069 2
1621309815.00 2158.00000 186633.00   22 19 11.99802  114 10 17.81983        4.841   0.001   0.000   0.002   0.428  -0.059  -0.033  -1.1769699028   0.4437443532 168.2884130111 2
1621309816.00 2158.00000 186634.00   22 19 11.99802  114 10 17.81983        4.841  -0.004  -0.000   0.002   0.021   0.006   0.034  -1.1784309451   0.4440136433 168.2894500647 2
1621309817.00 2158.00000 186635.00   22 19 11.99802  114 10 17.81983        4.841   0.004   0.000   0.003   0.604   0.084  -0.017  -1.1765631027   0.4476977620 168.2904011747 2
1621309818.00 2158.00000 186636.00   22 19 11.99802  114 10 17.81983        4.841   0.005  -0.004   0.006   0.063   0.134   0.035  -1.1802644101   0.4442772039 168.2899084310 2
1621309819.00 2158.00000 186637.00   22 19 11.99802  114 10 17.81983        4.841   0.002  -0.004   0.002   0.362  -0.059  -0.004  -1.1788663931   0.4447183814 168.2899428084 2
1621309820.00 2158.00000 186638.00   22 19 11.99802  114 10 17.81983        4.841   0.002   0.000   0.004   0.429   0.054   0.053  -1.1784767818   0.4464315252 168.2901662620 2
1621309821.00 2158.00000 186639.00   22 19 11.99802  114 10 17.81983        4.841  -0.002   0.001   0.002   0.115   0.005   0.083  -1.1785111592   0.4466034126 168.2897422732 2
1621309822.00 2158.00000 186640.00   22 19 11.99802  114 10 17.81983        4.841  -0.001   0.003   0.001  -0.170  -0.029   0.046  -1.1790841170   0.4450105899 168.2900803183 2
1621309823.00 2158.00000 186641.00   22 19 11.99802  114 10 17.81983        4.841  -0.001   0.006   0.001  -0.116   0.002   0.092  -1.1840115541   0.4426671925 168.2888312703 2
1621309824.00 2158.00000 186642.00   22 19 11.99802  114 10 17.81983        4.841   0.002   0.003   0.002  -0.333   0.071   0.073  -1.1716012882   0.4505339030 168.2903839859 2
1621309825.00 2158.00000 186643.00   22 19 11.99802  114 10 17.81983        4.841  -0.002  -0.001  -0.001  -0.283  -0.115   0.059  -1.1766776943   0.4393383077 168.2904069042 2
1621309826.00 2158.00000 186644.00   22 19 11.99802  114 10 17.81983        4.841  -0.003   0.001   0.002   0.074  -0.198  -0.020  -1.1870539600   0.4383356316 168.2897136253 2
1621309827.00 2158.00000 186645.00   22 19 11.99802  114 10 17.81983        4.841  -0.003   0.001   0.002   0.397   0.089   0.036  -1.1833641118   0.4425010348 168.2907850564 2
1621309828.00 2158.00000 186646.00   22 19 11.99802  114 10 17.81983        4.841  -0.000   0.000   0.002   0.513  -0.032   0.057  -1.1859366923   0.4420942347 168.2909913212 2
1621309829.00 2158.00000 186647.00   22 19 11.99802  114 10 17.81983        4.841   0.003   0.003   0.002   0.394  -0.141  -0.030  -1.1846303485   0.4401633670 168.2906991127 2
1621309830.00 2158.00000 186648.00   22 19 11.99802  114 10 17.81983        4.841   0.002   0.000  -0.000   0.244   0.126  -0.049  -1.1851975767   0.4418994291 168.2906188986 2
1621309831.00 2158.00000 186649.00   22 19 11.99802  114 10 17.81983        4.841   0.003  -0.003  -0.000  -0.039   0.011  -0.051  -1.1862632782   0.4421458009 168.2911288311 2
1621309832.00 2158.00000 186650.00   22 19 11.99802  114 10 17.81983        4.841   0.005  -0.001  -0.002  -0.384  -0.105  -0.034  -1.1887040784   0.4399456430 168.2908251634 2
1621309833.00 2158.00000 186651.00   22 19 11.99802  114 10 17.81983        4.840   0.001   0.001  -0.002  -0.611   0.083  -0.017  -1.1829114751   0.4403753613 168.2910142395 2
1621309834.00 2158.00000 186652.00   22 19 11.99803  114 10 17.81983        4.849   0.002  -0.000  -0.003  -0.595  -0.085   0.001  -1.1859538810   0.4384903302 168.2921544255 2
1621309835.00 2158.00000 186653.00   22 19 11.99803  114 10 17.81983        4.849  -0.001   0.003  -0.005  -0.393  -0.051   0.006  -1.1869164501   0.4393612260 168.2923033945 2
